,Unnamed: 0,Star Name,Distance,Mass,Radius,Luminosity
117,58,Delta Cephei,887,4.5,44.5,"2,000"
118,,,,,,
119,59,Mu Cephei,"6,000",19.2,972,"135,000"
120,,,,,,
121,60,Titawin,44.25,1.27,1.48,3.57
122,,,,,,
123,61,Rho Cassiopeiae,"8,154",22,636-981,"347,000 - 530,000"
124,,,,,,
125,62,P Cygni,"5,545",30,76,"610,000"
126,,,,,,
127,63,La Superba,"1,000",,129 - 342,"2,472 - 5,800"
128,,,,,,
129,64,VV Cephei,"4,900",18.2,"516 - 1,050","200,000"
130,,,,,,
131,65,61 Cygni,11.41,0.7,0.665,0.153
132,,,,,,
133,66,R Doradus,178,0.7 - 1.0,298,"4,350"
134,,,,,,
135,67,Polaris Australis,281,1.59,3.74,38
136,,,,,,
137,68,R Coronae Borealis,"4,566",0.85,85,"10,000"
138,,,,,,
139,69,54 Piscium,36.1,0.76,0.94,0.52
140,,,,,,
141,70,Mira,300,1.2,370,"9,000"
142,,,,,,
143,71,RW Cephei,"14,000",13.9,"1,158","417,000"
144,,,,,,
145,72,Lacaille 8760,12.87,0.6,0.51,0.072
146,,,,,,
147,73,V838 Monocerotis,"19,896",?,380 - 750,"15,000"
148,,,,,,
149,74,HD 140283,190,?,1.4,3.83
150,,,,,,
151,75,II Pegasi,130,0.8,3.4,1.06
152,,,,,,
153,76,VY Canis Majoris,"3,900",17,"1,420","178,000 - 270,000"
154,,,,,,
155,77,Pistol Star,"25,000",100,320,"1,700,000"
156,,,,,,
157,78,S Doradus,"169,000",24,380,"910,000"
158,,,,,,
159,79,UY Scuti,"5,100",7–10,755,"86,300 - 87,100"
160,,,,,,
161,80,Barnard's Star,5.98,0.14,0.2,0.0035
162,,,,,,
163,81,Luhman 16,6.52,0.04,?,?
164,,,,,,
165,82,Proxima Centauri,4.25,0.12,0.15,0.0017
166,,,,,,
167,83,KIC 8462852,"1,470",1.43,1.58,4.68
168,,,,,,
169,84,R136a1,"163,000",290,32,"8,710,000"
170,,,,,,
171,85,Melnick 42,"163,000",189,21.1,"3,600,000"
172,,,,,,
173,86,WR 102,"18,134",19,0.39,"282,000"
174,,,,,,
175,87,VFTS 352,"164,000",57.48,14.47,"330,000"
176,,,,,,
177,88,YBP 1194,"2,772",1.01,0.99,0.98
178,,,,,,
179,89,Gliese 1214,47.5,0.16,0.21,0.0033
180,,,,,,
181,90,NML Cygni,"5,251",50,"1,640 - 2,770","229,000"
182,,,,,,
183,91,VB 10,18.72,0.075,0.1,0.0004
184,,,,,,
185,92,WOH G64,"163,000",<20,"1,540 - 1,730","340-589,000"
186,,,,,,
187,93,TRAPPIST-1,39.6,0.089,0.12,0.0005
188,,,,,,
189,94,2MASS J0523-1403,40.3,0.07,0.086,0.00013
190,,,,,,
191,95,WISE 0855−0714,7.27,0.003,?,?
192,,,,,,
193,96,Icarus,"14,400,000,000",33,?,"850,000"
194,,,,,,
195,SDSS J000013.54+255418.6 [de],46.1,48,0.99,,
196,,,,,,
197,2MASS J08283419-1309198,,,,,
198,,,,,,
199,2MASS J00040288-6410358,192,19,1.63,,
200,,,,,,
201,LHS 102BC,,,,,
202,,,,,,
203,2MASS J00242463-0158201,37.7,79,1.09,,
204,,,,,,
205,2MASS J00250365+4759191AB,143,,,,
206,,,,,,
207,2MASS J00274197+0503417,236,31,1.44,,
208,,,,,,
209,2MASS J00275592+2219328,46.9,,,,
210,,,,,,
211,2MASSW J0030300-145033,87.2,54,0.98,,
212,,,,,,
213,2MASS J00332386-1521309 [de],131,29,1.43,,
214,,,,,,
215,2MASS J00345157+0523050,31,42,0.94,,
216,,,,,,
217,2MASS 0036+1821,28.6,42,0.94,,
218,,,,,,
219,2MASSW J0045214+163445,57,23,1.62,,
220,,,,,,
221,WISEP J004701.06+680352.1 [fr],40,12,1.3,,
222,,,,,,
223,2MASS J00501994-3322402 [de],34,40,0.94,,
224,,,,,,
225,2MASS J00034227-2822410,,,,,
226,,,,,,
227,2MASS J00584253-0651239 [de],96,29,1.43,,
228,,,,,,
229,CFBDS J005910.90–011401.3,30,23,,,
230,,,,,,
231,2MASSI J0103320+193536,70,52,0.98,,
232,,,,,,
233,SDSSp J010752.33+004156.1 [de],51,52,0.98,,
234,,,,,,
235,2MASSI J0117474-340325 [de],163,20,1.62,,
236,,,,,,
237,2MASS J01415823-4633574 [de],130,20,1.61,,
238,,,,,,
239,SDSS J015141.69+124429.6,70,47,0.97,,
240,,,,,,
241,DENIS-P J020529.0−115925A,65,,,,
242,,,,,,
243,DENIS-P J020529.0−115925B,65,,,,
244,,,,,,
245,DENIS-P J020529.0−115925C,65,,,,
246,,,,,,
247,SDSS J020742.48+000056.2 [de],111,47,0.97,,
248,,,,,,
249,2MASS J02103857-3015313,101,15,1.53,,
250,,,,,,
251,2MASS J02340093-6442068,155,20,1.62,,
252,,,,,,
253,2MASS J02411151-0326587 [de],152,27,1.41,,
254,,,,,,
255,2MASS J02431371−2453298,35,33,0.99,,
256,,,,,,
257,LP 771-21,53,78,1.08,,
258,,,,,,
259,2MASS J02511327+0047364,,,,,
260,,,,,,
261,Teegarden's star,12.578,80,1.27,,
262,,,,,,
263,2MASS J02535980+3206373,184,65,1.9,,
264,,,,,,
265,WISE J0254+0223,24,65,1.9,,
266,,,,,,
267,DEN 0255-4700,16.2,80,0.97,,
268,,,,,,
269,2MASS J03185403-3421292 [de],45,49,0.97,,
270,,,,,,
271,2MASS J03205965+1854233,47,88,1.15,,
272,,,,,,
273,2MASS J03231002-4631237,192,23,1.66,,
274,,,,,,
275,SDSS J032553.17+042540.1,59,45,0.95,,
276,,,,,,
277,2MASS J03264225-2102057 [de],80,18,1.3,,
278,,,,,,
279,2MASS J03284265+2302051 [de],98,54,0.98,,
280,,,,,,
281,2MASS J03341218-4953322,27,73,1.04,,
282,,,,,,
283,LP 944-20,20.9,73,1.43,,
284,,,,,,
285,2MASP J0345432+254023,88,74,1.05,,
286,,,,,,
287,Teide 1,380,55,3.78,,
288,,,,,,
289,2MASS J03510004-0052452,48,102,1.27,,
290,,,,,,
291,2MASS J03552337+1133437,29.8,20,1.32,,
292,,,,,,
293,DENIS-P J035726.9-441730 [de],130,,,,
294,,,,,,
295,2MASS J04151954−0935066,18.6,30,0.95,,
296,,,,,,
297,SDSSp J042348.57-041403.5 [de],50,,,,
298,,,,,,
299,2MASS J04285096-2253227 [de],85,80,1.09,,
300,,,,,,
301,2MASS J04351612-1606574,34,100,1.26,,
302,,,,,,
303,2MASS J04362788-4114465,142,39,1.97,,
304,,,,,,
305,2MASS J04390101-2353083 [de],29.5,48,0.97,,
306,,,,,,
307,2MASS J04414489+2301513,470,19,,,
308,,,,,,
309,2MASS J04433764+0002040,82,22,1.78,,
310,,,,,,
311,2MASS J04455387-3048204 [de],42,64,1,,
312,,,,,,
313,2MASS J04510093-3402150 [de],69,72,1.04,,
314,,,,,,
315,2MASS J05002100+0330501 [de],44,64,1,,
316,,,,,,
317,2MASS J05012406-0010452 [de],64,21,1.38,,
318,,,,,,
319,2MASS J05160945-0445499 [de],73,47,0.97,,
320,,,,,,
321,2MASS J0523−1403,40,68,1.01,,
322,,,,,,
323,2MASS 0532+8246,81,83,,,
324,,,,,,
325,SDSS J053951.99-005902.0,41.62,61,1.01,,
326,,,,,,
327,2MASS J05591914-1404488 [de],34,,,,
328,,,,,,
329,LSR 0602+3910 [de],34.6,28,1.41,,
330,,,,,,
331,2MASS J06085283-2753583,102,38,1.51,,
332,,,,,,
333,WISEP J061135.13-041024.0A,69,65,,,
334,,,,,,
335,WISEP J061135.13-041024.0B,69,53,,,
336,,,,,,
337,2MASS J06244595-4521548 [de],39,56,0.99,,
338,,,,,,
339,2MASS J06411840-4322329 [de],65,67,1.01,,
340,,,,,,
341,DENIS-P J0652197-253450 [de],51,75,1.05,,
342,,,,,,
343,2MASS J07003664+3157266 [de],40,,,,
344,,,,,,
345,2MASS J07075327-4900503,60,72,1.03,,
346,,,,,,
347,UGPS J072227.51-054031.2,13.4,26,0.98,,
348,,,,,,
349,2MASSI J0727182+171001 [de],29.6,41,0.94,,
350,,,,,,
351,2MASS J07290002-3954043 [de],25.8,37,0.94,,
352,,,,,,
353,SDSS J074201.41+205520.5 [de],49,43,0.94,,
354,,,,,,
355,2MASS J0746425+200032 [fr],49.6,,,,
356,,,,,,
357,DENIS-P J0751164-253043 [de],55,71,1.03,,
358,,,,,,
359,2MASS J07522390+1612157,60,68,2.01,,
360,,,,,,
361,DENIS J081730.0-615520,16.1,44,0.94,,
362,,,,,,
363,DENIS J082303.1−491201A,67,44,,,
364,,,,,,
365,DENIS J082303.1−491201B,67,28,,,
366,,,,,,
367,2MASS J08251968+2115521 [de],35,52,0.98,,
368,,,,,,
369,SDSSp J083008.12+482847.4 [de],43,48,0.99,,
370,,,,,,
371,LHS 2021,55,88,1.15,,
372,,,,,,
373,SDSS J083048.80+012831.1 [de],77,46,0.96,,
374,,,,,,
375,2MASSI J0835425-081923 [de],23.53,62,1,,
376,,,,,,
377,2MASSI J0847287-153237 [de],43,64,1,,
378,,,,,,
379,2MASS J08533619-0329321,27.6,77,1.07,,
380,,,,,,
381,2MASSI J0859254-194926 [de],50,50,0.98,,
382,,,,,,
383,2MASSW J0920122+351742 [de],95,,,,
384,,,,,,
385,2MASSI J0937347+293142,20,42,0.94,,
386,,,,,,
387,2MASS 0939−2448,17.4,32,0.95,,
388,,,,,,
389,2MASS J09490860-1545485 [de],59,49,0.96,,
390,,,,,,
391,2MASS J10073369-4555147,46,44,0.94,,
392,,,,,,
393,2MASSI J1010148-040649 [de],55,51,0.98,,
394,,,,,,
395,2MASSI J1017075+130839 [de],108,,,,
396,,,,,,
397,SDSS J102109.69-030420.1,95,,,,
398,,,,,,
399,2MASS J10224821+5825453 [de],60,27,1.41,,
400,,,,,,
401,2MASSW J1036530-344138 [de],53,49,0.97,,
402,,,,,,
403,2MASS J1047538+212423 [de],34.4,42,0.94,,
404,,,,,,
405,DEN 1048-3956,13.15,77,1.07,,
406,,,,,,
407,Luhman 16B,6.516,43,1.02,,
408,,,,,,
409,Luhman 16A,6.516,40,1.01,,
410,,,,,,
411,DENIS-P J1058.7−1548,49,64,1,,
412,,,,,,
413,TWA 28,180,36,2.39,,
414,,,,,,
415,Cha 110913-773444,163,8,1.8,,
416,,,,,,
417,OTS 44,554,15,,,
418,,,,,,
419,SDSS J111010.01+011613.1,63,9,1.24,,
420,,,,,,
421,2MASS J11145133−2618235,18.2,33,0.96,,
422,,,,,,
423,TWA 26,137,30,2.2,,
424,,,,,,
425,2MASSW J1146345+223053,89,,,,
426,,,,,,
427,2MASS J11544223-3400390 [de],129,37,1.5,,
428,,,,,,
429,2MASSW J1155395-372735 [de],31,64,1,,
430,,,,,,
431,TWA 27A,,,,,
432,,,,,,
433,TWA 27B,,,,,
434,,,,,,
435,2MASS J12074836-3900043,217,17,1.71,,
436,,,,,,
437,2MASSI J1217110-031113 [de],36,42,0.94,,
438,,,,,,
439,2MASS J12255432-2739466,43,,,,
440,,,,,,
441,DENIS-P J1228.2-1547,66,,,,
442,,,,,,
443,2M 1237+6526,45.6,41,0.94,,
444,,,,,,
445,2MASSW J1239272+551537 [de],119,,,,
446,,,,,,
447,TWA 29,262,25,2,,
448,,,,,,
449,SDSSp J125453.90-012247.4 [de],38,47,0.98,,
450,,,,,,
451,Kelu-1A,61,63,0.98,,
452,,,,,,
453,Kelu-1B,61,58,0.98,,
454,,,,,,
455,2MASS J13204427+0409045,101,67,1.01,,
456,,,,,,
457,SDSSp J132629.82-003831.5 [de],65,51,0.97,,
458,,,,,,
459,SDSSp J134646.45-003150.4 [de],48,44,0.94,,
460,,,,,,
461,2MASS J13595510-4034582,51,63,1,,
462,,,,,,
463,ULAS J141623.94+134836.3,29.7,32,0.96,,
464,,,,,,
465,SDSS J141659.78+500626.4 [de],149,59,0.99,,
466,,,,,,
467,DENIS-P J142527.97-365023.4 [de],38,21,1.32,,
468,,,,,,
469,LHS 2924,38.5,76,1.06,,
470,,,,,,
471,2MASS J14392837+1929150,47,72,1.03,,
472,,,,,,
473,LSPM J1440+1339,72,92,1.19,,
474,,,,,,
475,2MASS J14482563+1031590 [de],47,59,0.99,,
476,,,,,,
477,CFBDSIR 1458+10A,104,11.1,1.5,,
478,,,,,,
479,CFBDSIR 1458+10B,104,9,1.3,,
480,,,,,,
481,TVLM 513-46546,35.1,75,1.05,,
482,,,,,,
483,2MASS 1503+2525,20.7,44,0.94,,
484,,,,,,
485,CFBDS J150411+102717,71,44,0.94,,
486,,,,,,
487,2MASSW J1506544+132106 [de],46,69,1.02,,
488,,,,,,
489,2MASS 1507−1627,23.9,60,0.99,,
490,,,,,,
491,TVLM 868-110639,53,79,1.08,,
492,,,,,,
493,SDSS J151114.66+060742.9 [de],89,,,,
494,,,,,,
495,2MASSW J1515008+484742 [de],34,57,0.99,,
496,,,,,,
497,2MASSI J1526140+204341 [de],67,54,0.98,,
498,,,,,,
499,DENIS-P J153941.96-052042.4 [de],51,63,1,,
500,,,,,,
501,2MASS J15462718-3325111 [de],37,44,0.94,,
502,,,,,,
503,2MASSW J1552591+294849 [de],68,30,1.43,,
504,,,,,,
505,2MASSW J1555157-095605 [de],44,71,1.03,,
506,,,,,,
507,2MASS J16150413+1340079 [de],48,42,0.94,,
508,,,,,,
509,SDSSp J162414.37+002915.6 [de],36,43,0.94,,
510,,,,,,
511,2MASS J16262034+3925190 [de],110,71,1.03,,
512,,,,,,
513,2MASSW J1632291+190441 [de],50,49,0.97,,
514,,,,,,
515,WISEPA J164715.59+563208.2,28,41,0.94,,
516,,,,,,
517,LSPM J1658+7027 [de],60,73,1.04,,
518,,,,,,
519,2MASSI J1726000+153819,114,24,1.4,,
520,,,,,,
521,2MASSW J1728114+394859,79,,,,
522,,,,,,
523,SDSSp J175032.96+175903.9,90,47,0.97,,
524,,,,,,
525,2MASS J18283572-4849046,39,45,0.95,,
526,,,,,,
527,LSR J1835+3259,18.5,77,1.07,,
528,,,,,,
529,2MASSW J1841086+311727,138,67,1.01,,
530,,,,,,
531,2MASS J18432213+4040209,46,96,1.22,,
532,,,,,,
533,2MASS J20004841-7523070,105,25,1.88,,
534,,,,,,
535,SDSS J204749.61-071818.3,65,46,0.96,,
536,,,,,,
537,2MASSI J2057540-025230,47,70,1.02,,
538,,,,,,
539,2MASSW J2101154+175658,108,,,,
540,,,,,,
541,2MASSI J2104149-103736,62,69,1.02,,
542,,,,,,
543,PSO J318.5−22,80,6.5,1.53,,
544,,,,,,
545,HB 2124-4228,113,94,1.21,,
546,,,,,,
547,2MASS J21392676+0220226,32.1,46,0.96,,
548,,,,,,
549,2MASS J21481628+4003593,26.3,55,0.99,,
550,,,,,,
551,2MASS J14112131-2119503,,,,,
552,,,,,,
553,2MASSW J2206450-421721,93,22,1.33,,
554,,,,,,
555,2MASSW J2208136+292121,154,27,1.41,,
556,,,,,,
557,2MASSW J2224438-015852,38,61,0.99,,
558,,,,,,
559,2MASS J22282889-4310262,35,42,0.94,,
560,,,,,,
561,2MASS J22373255+3922398,64,73,1.04,,
562,,,,,,
563,2MASSW J2244316+204343,56,12,1.29,,
564,,,,,,
565,2MASS J23224684-3133231,56,24,1.39,,
566,,,,,,
567,2MASS J23225299-6151275,148,17,1.59,,
568,,,,,,
569,2MASS J23515044-2537367,67,88,1.16,,
570,,,,,,
571,2MASSI J2356547-155310,74,80,1.09,,
572,,,,,,
573,WISE 0005+3737,23.2,,,,
574,,,,,,
575,WISE 0008-1739,87.1,,,,
576,,,,,,
577,WISE 0015-4615,48.6,,,,
578,,,,,,
579,WISE 0031-3840,71.8,,,,
580,,,,,,
581,WISE 0032-4946,62.9,,,,
582,,,,,,
583,WISE 0038+2758,36.9,,,,
584,,,,,,
585,WISE 0038+8405,101.8,,,,
586,,,,,,
587,WISE 0040+0900,47.6,,,,
588,,,,,,
589,WISE 0049+0441,62.6,,,,
590,,,,,,
591,WISE 0049+2151,24.1,,,,
592,,,,,,
593,WISE 0106+1518,142.9,,,,
594,,,,,,
595,WISE 0123+4142,67.2,,,,
596,,,,,,
597,WISE 0135+1715,77.3,,,,
598,,,,,,
599,WISE 0138-0322,57.7,,,,
600,,,,,,
601,WISE 0146+4234,20.5,,,,
602,,,,,,
603,WISE 0148-7202,30,,,,
604,,,,,,
605,WISE 0150+3827,61.3,,,,
606,,,,,,
607,WISE 0206+2640,58.4,,,,
608,,,,,,
609,WISE 0221+3842,73.1,,,,
610,,,,,,
611,WISE 0223-2932,47,,,,
612,,,,,,
613,WISE 0226-0211,91,,,,
614,,,,,,
615,WISE 0241-3653,53.8,,,,
616,,,,,,
617,WISE 0245-3450,56.1,,,,
618,,,,,,
619,WISE 0247+3725,57.1,,,,
620,,,,,,
621,WISE 0305+3954,75,,,,
622,,,,,,
623,WISE 0307+2904,82.8,,,,
624,,,,,,
625,WISE 0313+7807,28,,,,
626,,,,,,
627,WISE 0316+4307,106.3,,,,
628,,,,,,
629,WISE 0321-7347,84.8,,,,
630,,,,,,
631,WISE 0323-6025,45.3,,,,
632,,,,,,
633,WISE 0325-3854,51.2,,,,
634,,,,,,
635,WISE 0325+0831,36.5,,,,
636,,,,,,
637,WISE 0333-5856,54.8,,,,
638,,,,,,
639,WISE 0335+4310,45.7,,,,
640,,,,,,
641,WISE 0336-0143,55.4,,,,
642,,,,,,
643,WISE 0350-5658,17.7,,,,
644,,,,,,
645,WISE 0359-5401,19.2,,,,
646,,,,,,
647,WISE 0410+1502,20,6,1.17,,
648,,,,,,
649,WISE 0410+1411,85.8,,,,
650,,,,,,
651,WISE 0413-4750,66.2,,,,
652,,,,,,
653,WISE 0448-1935,69.8,,,,
654,,,,,,
655,WISE 0458+6434A,35.9,15,4.2,,
656,,,,,,
657,WISE 0458+6434B,35.9,10,3.8,,
658,,,,,,
659,WISE 0500-1223,47,,,,
660,,,,,,
661,WISE 0513+0608,44.7,,,,
662,,,,,,
663,WISE 0525+6739,98.2,,,,
664,,,,,,
665,WISE 0528-3308,57.4,,,,
666,,,,,,
667,WISE 0535-7500,47,,,,
668,,,,,,
669,WISE 0539-1034,84.8,,,,
670,,,,,,
671,WISE 0542-1628,50.6,,,,
672,,,,,,
673,WISE 0607+2429,25.4,,,,
674,,,,,,
675,WISE 0611-0410,57.7,,,,
676,,,,,,
677,WISE 0612-4920,95.2,,,,
678,,,,,,
679,WISE 0612-3036,64.9,,,,
680,,,,,,
681,WISE 0614+3912,50.2,,,,
682,,,,,,
683,WISE 0614+0951,51.5,,,,
684,,,,,,
685,WISE 0623-0456,37.5,,,,
686,,,,,,
687,WISE 0625+5646,67.2,,,,
688,,,,,,
689,WISE 0627-1114,37.2,,,,
690,,,,,,
691,WISE 0647-6232,28,,,,
692,,,,,,
693,WISE 0656+4205,54.1,,,,
694,,,,,,
695,WISE 0713-2917,23.2,,,,
696,,,,,,
697,WISE 0723+3403,45.7,,,,
698,,,,,,
699,WISE 0733+7544,78.3,,,,
700,,,,,,
701,WISE 0734-7157,34.9,,,,
702,,,,,,
703,WISE 0744+5628,47.3,,,,
704,,,,,,
705,WISE 0750+2725,51.5,,,,
706,,,,,,
707,WISE 0751-7634,39.1,,,,
708,,,,,,
709,WISE 0759-4904,38.8,,,,
710,,,,,,
711,WISE 0811-8051,32,,,,
712,,,,,,
713,WISE 0812+4021,63.6,,,,
714,,,,,,
715,WISE 0819-0335,46,,,,
716,,,,,,
717,WISE 0821+1443,68.2,,,,
718,,,,,,
719,WISE 0836-1859,72.4,,,,
720,,,,,,
721,WISE 0857+5604,42.1,,,,
722,,,,,,
723,WISE 0906+4735,51.5,,,,
724,,,,,,
725,WISE 0929+0409,64.9,,,,
726,,,,,,
727,WISE 0952+1955,72.1,,,,
728,,,,,,
729,WISE 1018-2445,47.6,,,,
730,,,,,,
731,WISE 1019+6529,56.8,,,,
732,,,,,,
733,WISE 1039-1600,47.3,,,,
734,,,,,,
735,WISE 1042-3842,53.2,,,,
736,,,,,,
737,WISE 1051-2138,40.8,,,,
738,,,,,,
739,WISE 1122+2550,57.7,,,,
740,,,,,,
741,WISE 1124-0421,50.6,,,,
742,,,,,,
743,WISE 1147-2040,102,,,,
744,,,,,,
745,WISE 1150+6302,32.9,,,,
746,,,,,,
747,WISE 1217+1626A,34.2,12,,,
748,,,,,,
749,WISE 1217+1626B,34.2,6,,,
750,,,,,,
751,WISE 1225-1013,55.4,,,,
752,,,,,,
753,WISE 1311+0122,44.4,,,,
754,,,,,,
755,WISE 1311+3629,86.1,,,,
756,,,,,,
757,WISE 1318-1758,32.9,,,,
758,,,,,,
759,WISE 1320+6034,56.1,,,,
760,,,,,,
761,WISE 1322-2340,33.9,,,,
762,,,,,,
763,WISE 1348+6603,91,,,,
764,,,,,,
765,WISE 1405+5534,25.3,30,0.86,,
766,,,,,,
767,WISE 1433-0837,84.8,,,,
768,,,,,,
769,WISE 1436-1814,60,,,,
770,,,,,,
771,WISE 1457+5815,52.2,,,,
772,,,,,,
773,WISE 1506+7027,11.1,,,,
774,,,,,,
775,WISE 1517+0529,72.4,,,,
776,,,,,,
777,WISE 1519+7009,50.9,,,,
778,,,,,,
779,WISE 1523+3125,84.5,,,,
780,,,,,,
781,WISE 1541-2250,20,,,,
782,,,,,,
783,WISE 1542+2230,41.1,,,,
784,,,,,,
785,WISE 1612-3420,55.4,,,,
786,,,,,,
787,WISE 1614+1739,32.6,,,,
788,,,,,,
789,WISE 1617+1807,50.2,,,,
790,,,,,,
791,WISE 1622-0959,52.2,,,,
792,,,,,,
793,WISE 1627+3255,50.2,,,,
794,,,,,,
795,WISE 1639-6847,16.3,,,,
796,,,,,,
797,WISE 1647+5632,28,,,,
798,,,,,,
799,WISE 1653+4444,39.5,,,,
800,,,,,,
801,WISE 1711+3500,60.3,,,,
802,,,,,,
803,WISE 1717+6129,72.7,,,,
804,,,,,,
805,WISE 1721+1117,62.3,,,,
806,,,,,,
807,WISE 1728+5716,97.8,,,,
808,,,,,,
809,WISE 1738+2732,20,,,,
810,,,,,,
811,WISE 1741+2553,18.9,,,,
812,,,,,,
813,WISE 1746-0338,83.8,,,,
814,,,,,,
815,WISE 1800+0134,28.7,57,,,
816,,,,,,
817,WISE 1804+3117,30,,,,
818,,,,,,
819,WISE 1809+3838,74.4,,,,
820,,,,,,
821,WISE 1812+2721,47,,,,
822,,,,,,
823,WISE 1828+2650,36,,,,
824,,,,,,
825,WISE 1830+4542,107,,,,
826,,,,,,
827,WISE 1841+7000,131.1,,,,
828,,,,,,
829,WISE 1852+3537,55.4,,,,
830,,,,,,
831,WISE 1906+4508,51.5,,,,
832,,,,,,
833,WISE 1928+2356,22.8,,,,
834,,,,,,
835,WISE 1952+7240,44.4,,,,
836,,,,,,
837,WISE 1959-3338,37.2,,,,
838,,,,,,
839,WISE 2030+0749,34.2,,,,
840,,,,,,
841,WISE 2014+0424,96.2,,,,
842,,,,,,
843,WISE 2015+6646,50.6,,,,
844,,,,,,
845,WISE 2018-7423,47.9,,,,
846,,,,,,
847,WISE 2019-1148,42.4,,,,
848,,,,,,
849,WISE 2056+1459,24.5,,,,
850,,,,,,
851,WISE 2134-7137,42.7,,,,
852,,,,,,
853,WISE 2157+2659,61.6,,,,
854,,,,,,
855,WISE 2209-2734,46,,,,
856,,,,,,
857,WISE 2213+0911,58.7,,,,
858,,,,,,
859,WISE 2220-3628,26.4,,,,
860,,,,,,
861,WISE 2226+0440,45,,,,
862,,,,,,
863,WISE 2237-0614,53.5,,,,
864,,,,,,
865,WISE 2237+7228,46,,,,
866,,,,,,
867,WISE 2239+1617,59.7,,,,
868,,,,,,
869,WISE 2255-3118,44.7,,,,
870,,,,,,
871,WISE 2301+0216,60.7,,,,
872,,,,,,
873,WISE 2313-8037,35.9,,,,
874,,,,,,
875,WISE 2319-1844,52.2,,,,
876,,,,,,
877,WISE 2325-4105,37.5,,,,
878,,,,,,
879,WISE 2327-2730,70.8,,,,
880,,,,,,
881,WISE 2335+4222,90.3,,,,
882,,,,,,
883,WISE 2340-0745,37.8,,,,
884,,,,,,
885,WISE 2342+0856,51.2,,,,
